"url","path","name","is_dir","bytes_listed","mtime_listed","bytes","mtime","etag","head_status","crawled_at"
"https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip","ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip","ABALONE_COMMERCIAL_DIVE_BLOCKS_STATEWIDE.zip",FALSE,16777216,"2016-07-28T12:04:00+1000",16514367,"2025-07-18T00:08:43Z","""166068a-fbfd3f-63a28eddb216d""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip","ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip","ABALONE_COMMERCIAL_DIVE_SUB_BLOCKS_STATEWIDE.zip",FALSE,16777216,"2024-09-18T11:32:00+1000",16541495,"2025-07-18T00:08:32Z","""1660689-fc6737-63a28ed289aa5""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/ACID_SULFATE_SOIL_SITES_STATEWIDE.zip","ACID_SULFATE_SOIL_SITES_STATEWIDE.zip","ACID_SULFATE_SOIL_SITES_STATEWIDE.zip",FALSE,65536,"2024-09-18T11:31:00+1000",65794,"2025-07-17T23:21:45Z","""16606cd-10102-63a2845e034b4""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip","BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip","BUILT_INFRASTRUCTURE_LINE_STATEWIDE.zip",FALSE,1153433.6,"2025-07-18T09:15:00+1000",1118868,"2025-07-18T00:07:55Z","""1660685-111294-63a28eafa64c9""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip","BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip","BUILT_INFRASTRUCTURE_POINT_STATEWIDE.zip",FALSE,2411724.8,"2021-02-04T08:49:00+1100",2390218,"2025-07-18T00:08:08Z","""1660686-2478ca-63a28ebb930bb""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/BUILT_INFRASTRUCTURE_POLY_STATEWIDE.zip","BUILT_INFRASTRUCTURE_POLY_STATEWIDE.zip","BUILT_INFRASTRUCTURE_POLY_STATEWIDE.zip",FALSE,6815744,"2025-07-18T09:51:00+1000",6769112,"2025-07-18T00:08:20Z","""1660687-6749d8-63a28ec6e724e""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/CFT_SCENARIO_A2_STATEWIDE.zip","CFT_SCENARIO_A2_STATEWIDE.zip","CFT_SCENARIO_A2_STATEWIDE.zip",FALSE,509952,"2025-07-18T09:51:00+1000",509625,"2025-07-17T03:11:37Z","""16606b0-7c6b9-63a175e13868d""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/CFT_SCENARIO_B1_STATEWIDE.zip","CFT_SCENARIO_B1_STATEWIDE.zip","CFT_SCENARIO_B1_STATEWIDE.zip",FALSE,423936,"2025-07-18T09:51:00+1000",423722,"2025-07-17T03:11:45Z","""16606b1-6772a-63a175e936551""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/CHM_2M_STATEWIDE_OLD.zip","CHM_2M_STATEWIDE_OLD.zip","CHM_2M_STATEWIDE_OLD.zip",FALSE,8697308774.4,"2020-04-09T13:20:00+1000",8692813611,"2025-10-06T23:56:33Z","""1660c92-20621cf2b-6408633774f3d""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/CHM_2M_STATEWIDE.zip","CHM_2M_STATEWIDE.zip","CHM_2M_STATEWIDE.zip",FALSE,25769803776,"2025-07-18T09:51:00+1000",26010032970,"2026-08-20T00:09:57Z","""1660cee-60e519b4a-6596f57156cc2""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/COASTAL_VULNERABILITY_DERWENT_ESTUARY_VALUES_STATEWIDE.zip","COASTAL_VULNERABILITY_DERWENT_ESTUARY_VALUES_STATEWIDE.zip","COASTAL_VULNERABILITY_DERWENT_ESTUARY_VALUES_STATEWIDE.zip",FALSE,2411724.8,"2025-07-18T09:42:00+1000",2422398,"2025-07-18T00:08:57Z","""166068d-24f67e-63a28eeae3643""",200,"2026-09-09T13:41:08Z"
"https://listdata.thelist.tas.gov.au/opendata/data/COASTAL_VULNERABILITY_DERWENT_ESTUARY_WEEDS_STATEWIDE.zip","COASTAL_VULNERABILITY_DERWENT_ESTUARY_WEEDS_STATEWIDE.zip","COASTAL_VULNERABILITY_DERWENT_ESTUARY_WEEDS_STATEWIDE.zip",FALSE,63963136,"2025-07-18T09:15:00+1000",63910091,"2025-07-18T00:09:26Z","""166068e-3cf30cb-63a28f063a1de""",200,"2026-09-09T13:41:08Z"
